0.625	0.58824	1	2
0.64286	0.52941	2	2
0.61538	0.47059	3	2
0.58333	0.41176	4	2
0.58333	0.41176	5	2
0.63636	0.41176	6	2
0.63636	0.41176	7	2
0.7	0.41176	8	2
0.7	0.41176	9	2
0.7	0.41176	10	2
0.7	0.41176	11	2
0.7	0.41176	12	2
0.7	0.41176	13	2
0.625	0.29412	14	2
0.57143	0.23529	15	2
0.66667	0.23529	16	2
0.6	0.17647	17	2
0.6	0.17647	18	2
0.66667	0.11765	19	2
1	0.11765	20	2
NaN	0	21	2
0.6875	0.64706	1	5
0.66667	0.58824	2	5
0.61538	0.47059	3	5
0.61538	0.47059	4	5
0.58333	0.41176	5	5
0.63636	0.41176	6	5
0.63636	0.41176	7	5
0.6	0.35294	8	5
0.6	0.35294	9	5
0.6	0.35294	10	5
0.6	0.35294	11	5
0.66667	0.35294	12	5
0.66667	0.35294	13	5
0.66667	0.35294	14	5
0.57143	0.23529	15	5
0.66667	0.23529	16	5
0.66667	0.23529	17	5
0.66667	0.23529	18	5
0.6	0.17647	19	5
0.33333	0.058824	20	5
1	0.058824	21	5
0.65	0.76471	1	10
0.68421	0.76471	2	10
0.64706	0.64706	3	10
0.64706	0.64706	4	10
0.64706	0.64706	5	10
0.6875	0.64706	6	10
0.6875	0.64706	7	10
0.61538	0.47059	8	10
0.63636	0.41176	9	10
0.63636	0.41176	10	10
0.63636	0.41176	11	10
0.7	0.41176	12	10
0.7	0.41176	13	10
0.7	0.41176	14	10
0.625	0.29412	15	10
0.57143	0.23529	16	10
0.5	0.17647	17	10
0.5	0.17647	18	10
0.25	0.058824	19	10
0.33333	0.058824	20	10
0.7	0.82353	1	15
0.64706	0.64706	2	15
0.64706	0.64706	3	15
0.64706	0.64706	4	15
0.64706	0.64706	5	15
0.64706	0.64706	6	15
0.64706	0.64706	7	15
0.66667	0.58824	8	15
0.69231	0.52941	9	15
0.72727	0.47059	10	15
0.72727	0.47059	11	15
0.72727	0.47059	12	15
0.72727	0.47059	13	15
0.72727	0.47059	14	15
0.66667	0.35294	15	15
0.66667	0.35294	16	15
0.57143	0.23529	17	15
0.57143	0.23529	18	15
0.57143	0.23529	19	15
0.4	0.11765	20	15
0.4	0.11765	21	15
0.66667	0.82353	1	20
0.66667	0.70588	2	20
0.64706	0.64706	3	20
0.64706	0.64706	4	20
0.64706	0.64706	5	20
0.64706	0.64706	6	20
0.64706	0.64706	7	20
0.625	0.58824	8	20
0.66667	0.58824	9	20
0.72727	0.47059	10	20
0.7	0.41176	11	20
0.7	0.41176	12	20
0.7	0.41176	13	20
0.7	0.41176	14	20
0.66667	0.35294	15	20
0.625	0.29412	16	20
0.57143	0.23529	17	20
0.57143	0.23529	18	20
0.57143	0.23529	19	20
0.4	0.11765	20	20
0.66667	0.11765	21	20
0.68421	0.76471	1	25
0.66667	0.70588	2	25
0.64706	0.64706	3	25
0.64706	0.64706	4	25
0.625	0.58824	5	25
0.625	0.58824	6	25
0.625	0.58824	7	25
0.71429	0.58824	8	25
0.71429	0.58824	9	25
0.66667	0.47059	10	25
0.72727	0.47059	11	25
0.72727	0.47059	12	25
0.625	0.29412	13	25
0.625	0.29412	14	25
0.57143	0.23529	15	25
0.57143	0.23529	16	25
0.57143	0.23529	17	25
0.4	0.11765	18	25
0.4	0.11765	19	25
0.61111	0.64706	1	30
0.61111	0.64706	2	30
0.61111	0.64706	3	30
0.61111	0.64706	4	30
0.61111	0.64706	5	30
0.64706	0.64706	6	30
0.64706	0.64706	7	30
0.6	0.52941	8	30
0.6	0.52941	9	30
0.66667	0.47059	10	30
0.55556	0.29412	11	30
0.5	0.23529	12	30
0.57143	0.23529	13	30
0.4	0.11765	14	30
0.33333	0.058824	15	30
